Question,Answer
Top 10 songs by Spotify Streams,"[['Blinding Lights - The Weeknd', 4281468720], ['Shape of You - Ed Sheeran', 3909458734], ['Someone You Loved - Lewis Capaldi', 3427498835], ['Sunflower - Spider-Man: Into the Spider-Verse - Post Malone', 3358704125], ['As It Was - Harry Styles', 3301814535], ['As It Was - Harry Styles', 3299082422], ['Starboy - The Weeknd', 3291262413], ['One Dance - Drake', 3192204066], ['STAY (with Justin Bieber) - The Kid LAROI', 3107100349], ['STAY (with Justin Bieber) - The Kid LAROI', 3107100349]]"
Top 10 Artists by Spotify Streams,"{'Bad Bunny': 37054834425, 'The Weeknd': 36005903252, 'Taylor Swift': 34009955009, 'Drake': 33449494286, 'Ed Sheeran': 24014900390, 'Post Malone': 23933989014, 'Ariana Grande': 23048177700, 'MUSIC LAB JPN': 22866685573, 'Eminem': 18778912028, 'Harry Styles': 17353388340}"
Top 10 Album by Spotify Streams,"{'Full Circle: The Live Anthology': 19204411183, 'Un Verano Sin Ti': 14693623744, 'EPIC AF': 6723669249, 'Dua Lipa (Complete Edition)': 6694592457, 'Papercuts': 6673820436, 'Starboy': 6572780303, 'Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A': 6239553106, '1989 (Deluxe)': 6022767764, 'ýý (Deluxe)': 5604016733, 'YHLQMDLG': 5406717465}"
Artist with most songs,Taylor Swift
Oldest song,"{'Track': ""Sweet Child O' Mine"", 'Artist': ""Guns N' Roses"", 'Release Date': Timestamp('1987-07-21 00:00:00')}"
Average number of streams,434225119.55
Album with most songs,Un Verano Sin Ti
Total Spotify streams of first 10 songs,7443397692
Song with highest YouTube Views,Baby Shark - Pinkfong
Average Spotify Playlist Count,59046.74
Number of songs with >1M Spotify Streams,4234
Median Spotify Popularity,67.0
Songs released in March,422
Artist with highest avg Playlist Reach,Djo
Number of explicit tracks,1638
Top 5 tracks with highest combined TikTok Views + Likes,"[['Monkeys Spinning Monkeys - Kevin MacLeod', 256706535296], ['Love You So - The King Khan & BBQ Show', 233266652930], ['Oh No - Kreepa', 66048111624], ['Funny Song - Cavendish Music', 41821858072], ['Spongebob - Dante9k', 36967283449]]"
Track with highest Spotify Streams to TikTok Posts ratio,Abcdario - Eden Muï¿½ï
Total Soundcloud Streams of artist with most tracks,Taylor Swift
Soundcloud streams (sum),10897166
Artist with widest range in YouTube Views,Pinkfong
Average Spotify Playlist Count (Explicit vs Non-Explicit),"{0: 52393.19103855505, 1: 70741.23626373627}"
Correlation between Spotify Streams and YouTube Views,0.4277665751277799
Artist appears in most different albums,Drake
Top 3 artists by avg TikTok Posts per track,"{'WZ Beat': 37621885.0, 'The King Khan & BBQ Show': 35323801.0, 'Kevin MacLeod': 31963934.0}"
Most popular track (Spotify Streams) by artist in most albums,One Dance - Drake
Total Spotify Streams of artist with most tracks in January,14145109805
Which track has the highest ratio of Spotify Streams to all platform streams (Spotify + YouTube + Soundcloud + Pandora)?,As It Was
Which artist has the most tracks released on weekends (Saturday or Sunday)?,Bad Bunny
Which album has the widest distribution of Spotify Playlist Reach (standard deviation)?,greedy
Find the top 3 oldest explicit songs with above-average Spotify Streams,"[[""Sweet Child O' Mine"", Timestamp('1987-07-21 00:00:00')], ['The Real Slim Shady', Timestamp('2000-01-01 00:00:00')], ['Without Me', Timestamp('2002-01-01 00:00:00')]]"
Which track has the highest TikTok Likes to Spotify Streams ratio (viral potential)?,Very Cute Melody by Marimba Tone (39813) - mitsu sound
